year	segment_id	latitude	longitude	is_in_sweden	placement	kW_installed	kW_used	kW_unused	kWPerRoadKm_installed	kWPerRoadKm_used	kWPerRoadKm_unused	kWh_per_year	euro_per_kWh	soc_on_arrival	lane_km
2025-01-01	3611993	59.877885	16.078826	True	Depot	220.97665	220.97665	0	0	0	0	858927.94	0.050772473	0.5	0
2025-01-01	4728284	65.682968	21.002904	True	Depot	39.79535	39.79535	0	0	0	0	72639.06	0.1252007	0.5	0
2025-01-01	3828093	61.864347	17.037306	True	Destination	215.56267	215.56267	0	0	0	0	432.19736	0.19141796	0.5003569	0
2025-01-01	3837093	61.865275	17.050764	True	Destination	268.26535	268.26535	0	0	0	0	86375.555	0.1902239	0.4706691	0
2025-01-01	3116895	57.905057	13.862061	True	RestStop	8549.238	8549.238	0	0	0	0	32317026	0.054821484	0.24163234	0
2025-01-01	3153061	61.228038	14.033289	True	Depot	1271.9008	1271.9008	0	0	0	0	4943832.5	0.048625894	0.49999997	0
2025-01-01	4449195	63.90947	19.777563	True	Depot	52.14026	52.14026	0	0	0	0	202667.28	0.059184846	0.5	0
2025-01-01	3332843	56.866934	14.831801	True	Depot	85.404724	85.404724	0	0	0	0	258290.77	0.06631222	0.5	0
2025-01-01	3395956	59.128672	15.106888	True	Depot	158.35822	158.35822	0	0	0	0	615532.56	0.051799744	0.5	0
2025-01-01	2909887	57.74228	12.928347	True	Depot	125.59576	125.59576	0	0	0	0	488186.1	0.052745398	0.5	0
2025-01-01	2756883	57.668211	12.277786	True	Destination	199.14229	199.14229	0	0	0	0	35868.645	0.19191909	0.7702936	0
2025-01-01	4061972	59.45443	18.071446	True	Destination	461.4338	461.4338	0	0	0	0	952473.06	0.10374299	0.3400141	0
2025-01-01	2792939	58.795789	12.431548	True	Depot	38.298782	38.298782	0	0	0	0	726.1904	0.1263281	0.5	0
2025-01-01	3477021	60.439222	15.479854	True	Depot	60.25934	60.25934	0	0	0	0	34275.152	0.11540275	0.5	0
2025-01-01	2873901	58.032024	12.790859	True	Depot	281.46237	281.46237	0	0	0	0	1094033.9	0.05021418	0.49999997	0
2025-01-01	3422956	59.128248	15.226349	True	Depot	82.59612	82.59612	0	0	0	0	25576.547	0.11024999	0.5	0
2025-01-01	2531917	58.356509	11.255712	True	Destination	692.07166	692.07166	0	0	0	0	1626976.4	0.09361659	0.42615104	0
2025-01-01	3341842	56.844403	14.858828	True	Destination	64.442276	64.442276	0	0	0	0	130.10219	0.20567074	0.8295203	0
2025-01-01	4034971	59.427173	17.944419	True	Destination	572.9713	572.9713	0	0	0	0	815970.1	0.13886023	0.38101026	0
2025-01-01	3719854	57.088618	16.527143	True	Depot	5968.0864	5968.0864	0	0	0	0	23197736	0.048270736	0.5	0
2025-01-01	2810845	56.909948	12.516069	True	Depot	469.28055	469.28055	0	0	0	0	1824076	0.04939787	0.5	0
2025-01-01	3170800	56.004442	14.087832	True	Depot	75.608055	75.608055	0	0	0	0	262694.16	0.06062292	0.5	0
2025-01-01	3746843	56.8781	16.672477	True	Depot	98.57845	98.57845	0	0	0	0	92976.08	0.107996255	0.50000006	0
2025-01-01	2765915	58.301012	12.312682	True	Destination	313.51147	313.51147	0	0	0	0	105132.945	0.18951905	0.45686802	0
2025-01-01	3278801	56.032013	14.564934	True	Depot	172.67242	172.67242	0	0	0	0	671171.56	0.05149921	0.5	0
2025-01-01	3315023	60.460264	14.725836	True	Depot	50.031136	50.031136	0	0	0	0	1526.7554	0.11929799	0.5	0
2025-01-01	3125866	57.321446	13.881874	True	Destination	476.34436	476.34436	0	0	0	0	130418.98	0.18809058	0.30088195	0
2025-01-01	2774916	58.320532	12.331524	True	Depot	364.9382	364.9382	0	0	0	0	1418501.2	0.04974763	0.5	0
2025-01-01	4548191	63.839103	20.237785	True	Depot	115.335106	115.335106	0	0	0	0	448303.34	0.053152032	0.5	0
2025-01-01	2990792	55.842997	13.319299	True	Destination	610.4497	610.4497	0	0	0	0	1435093	0.09374316	0.70096964	0
2025-01-01	3422979	59.599228	15.200114	True	Depot	869.2571	869.2571	0	0	0	0	3378771	0.04883497	0.5	0
2025-01-01	3387109	62.181103	15.061424	True	Destination	316.02386	316.02386	0	0	0	0	42639.2	0.18948585	0.5682964	0
2025-01-01	3765105	62.101324	16.732678	True	Destination	547.5375	547.5375	0	0	0	0	47198.17	0.18773293	0.18622409	0
2025-01-01	3855081	61.623223	17.127106	True	Destination	344.9443	344.9443	0	0	0	0	52568.65	0.18913826	0.32949328	0
2025-01-01	3413857	57.141684	15.166848	True	Depot	39.635788	39.635788	0	0	0	0	11003.168	0.12531687	0.5	0
2025-01-01	3737953	59.079184	16.609581	True	Depot	297.8088	297.8088	0	0	0	0	1157572.1	0.05010222	0.49999997	0
2025-01-01	2846982	59.649019	12.640076	True	Depot	79.729744	79.729744	0	0	0	0	141662.19	0.11074973	0.5	0
2025-01-01	3603022	60.447929	16.035598	True	Destination	366.043	366.043	0	0	0	0	113815.086	0.18891938	0.446068	0
2025-01-01	4980372	67.447915	22.13879	True	Depot	51.37211	51.37211	0	0	0	0	143275.92	0.07685867	0.49999997	0
2025-01-01	3971974	59.496468	17.660705	True	Destination	490.75632	490.75632	0	0	0	0	649050.1	0.14797467	0.32742354	0
2025-01-01	2999791	55.835999	13.33052	True	Destination	1036.333	1036.333	0	0	0	0	2436293	0.09330216	0.4618438	0
2025-01-01	2621886	57.721603	11.651559	True	Depot	89.98403	89.98403	0	0	0	0	93990.39	0.10910869	0.49999997	0
2025-01-01	2576917	58.357589	11.448892	True	Depot	349.17648	349.17648	0	0	0	0	1357236.1	0.049818646	0.5	0
2025-01-01	2729970	59.403894	12.128449	True	Destination	454.38083	454.38083	0	0	0	0	24902.791	0.18822353	0.4648096	0
2025-01-01	2729882	57.656783	12.12175	True	Depot	47.02548	47.02548	0	0	0	0	182786.3	0.060382403	0.5	0
2025-01-01	2990906	58.120433	13.283172	True	Destination	387.3579	387.3579	0	0	0	0	964.2386	0.18872242	0.11331307	0
2025-01-01	4692209	64.195308	20.846532	True	Depot	618.1231	618.1231	0	0	0	0	2402622	0.049103286	0.5	0
2025-01-01	2909779	55.590273	12.934028	True	Depot	10004.2	10004.2	0	0	0	0	38885956	0.04823193	0.5	0
2025-01-01	4890291	65.827272	21.725198	True	Destination	303.34796	303.34796	0	0	0	0	1322.6737	0.18965909	0.23412693	0
2025-01-01	2954784	55.681632	13.129624	True	Destination	183.69841	183.69841	0	0	0	0	1669.0552	0.19247219	0.34671822	0
2025-01-01	4215229	64.592767	18.750559	True	Depot	1117.6393	1117.6393	0	0	0	0	4344222.5	0.0486882	0.5	0
2025-01-01	2855952	59.046255	12.681175	True	Depot	307.02878	307.02878	0	0	0	0	1193409.4	0.05004434	0.49999997	0
2025-01-01	3638985	59.707744	16.199193	True	Depot	87.25852	87.25852	0	0	0	0	18269.377	0.10950723	0.5	0
2025-01-01	3620993	59.865371	16.086806	True	Depot	92.93075	92.93075	0	0	0	0	126656.75	0.1087041	0.5	0
2025-01-01	5214292	65.852861	23.18732	True	Depot	517.39996	517.39996	0	0	0	0	2011114.4	0.0492841	0.5	0
2025-01-01	2765858	57.166435	12.28182	True	Destination	345.39764	345.39764	0	0	0	0	641.9467	0.18913329	0.21899423	0
2025-01-01	2891792	55.857652	12.843046	True	Depot	312.96478	312.96478	0	0	0	0	1216482.8	0.050008867	0.5	0
2025-01-01	2936783	55.679335	13.077032	True	Depot	94.79744	94.79744	0	0	0	0	266183.34	0.069354445	0.50000006	0
2025-01-01	3350875	57.519449	14.904072	True	Depot	86.71686	86.71686	0	0	0	0	1018.8231	0.10958942	0.5	0
2025-01-01	3872963	59.261858	17.220076	True	Destination	293.4891	293.4891	0	0	0	0	3324.8064	0.1898042	0.64256364	0
2025-01-01	3107858	57.162728	13.837551	True	Depot	517.61755	517.61755	0	0	0	0	2011960.6	0.049283624	0.50000006	0
2025-01-01	3900094	61.892921	17.331927	True	Destination	248.18205	248.18205	0	0	0	0	8616.088	0.19061914	0.4897285	0
2025-01-01	2666904	58.097437	11.859667	True	Destination	397.6367	397.6367	0	0	0	0	175966.11	0.18863496	0.21748969	0
2025-01-01	2954983	59.662674	13.154436	True	Destination	525.6803	525.6803	0	0	0	0	30898.34	0.1878324	0.57745117	0
2025-01-01	3305911	58.229691	14.686898	True	Depot	88.40925	88.40925	0	0	0	0	125260.67	0.10933598	0.5	0
2025-01-01	4052977	59.543947	18.032112	True	Depot	28.07623	28.07623	0	0	0	0	2369.3093	0.13724348	0.5	0
2025-01-01	4548192	63.85088	20.221304	True	Depot	6476.1567	6476.1567	0	0	0	0	25172580	0.04826319	0.5	0
2025-01-01	4881292	65.84173	21.701432	True	Destination	407.69882	407.69882	0	0	0	0	26113.512	0.18855365	0.40791637	0
2025-01-01	3684073	61.469683	16.371038	True	Depot	86.97102	86.97102	0	0	0	0	338053.2	0.054775357	0.5	0
2025-01-01	3170870	57.4161	14.099894	True	RestStop	9578.162	9578.162	0	0	0	0	36206444	0.054813705	0.3132057	0
2025-01-01	2954786	55.722135	13.150453	True	Depot	62.468	62.468	0	0	0	0	30771.473	0.11472906	0.5	0
2025-01-01	4133970	59.403171	18.365493	True	Depot	307.86478	307.86478	0	0	0	0	1196659.2	0.05003925	0.5	0
2025-01-01	2972768	55.369609	13.204548	True	Destination	405.12775	405.12775	0	0	0	0	49503.547	0.18857406	0.81545365	0
2025-01-01	4080020	60.400048	18.152862	True	Destination	328.72226	328.72226	0	0	0	0	45593.19	0.1893257	0.6622428	0
2025-01-01	3242946	58.926113	14.437002	True	Depot	82.83756	82.83756	0	0	0	0	274538.6	0.062057674	0.5	0
2025-01-01	2684944	58.895016	11.959577	True	Depot	52.880196	52.880196	0	0	0	0	35543.227	0.11806156	0.5	0
